Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::TREE,617.766903134847,20.1491044593829,-386.714237892303,1,0,0,0,1,0
INSTANTIATE::TREE,581.11637138032,33.2374870050413,-654.691502539039,1,0,0,0,1,0
INSTANTIATE::TREE,584.509831472046,29.4110676658531,-629.879580050183,1,0,0,0,1,0
INSTANTIATE::TREE,591.296751655499,25.3862876622572,-580.255735072471,1,0,0,0,1,0
INSTANTIATE::TREE,594.690211747225,24.7499968147869,-555.443812583615,1,0,0,0,1,0
INSTANTIATE::TREE,598.083671838952,23.2925036021703,-530.631890094758,1,0,0,0,1,0
INSTANTIATE::TREE,601.477131930678,21.1671743662011,-505.819967605902,1,0,0,0,1,0
INSTANTIATE::TREE,604.870592022404,20.1848456333034,-481.008045117046,1,0,0,0,1,0
INSTANTIATE::TREE,608.264052114131,20.128749069718,-456.19612262819,1,0,0,0,1,0
INSTANTIATE::TREE,611.657512205857,20.1476615008885,-431.384200139334,1,0,0,0,1,0
INSTANTIATE::TREE,615.050972297583,20.1491403949436,-406.572277650477,1,0,0,0,1,0
INSTANTIATE::TREE,621.837892481036,20.1451643785636,-356.948432672765,1,0,0,0,1,0
INSTANTIATE::TREE,625.231352572762,20.1152646124236,-332.136510183909,1,0,0,0,1,0
INSTANTIATE::TREE,628.624812664489,20.0524527623103,-307.324587695053,1,0,0,0,1,0
INSTANTIATE::TREE,632.018272756215,20.0859148449967,-282.512665206197,1,0,0,0,1,0
INSTANTIATE::TREE,635.411732847941,22.1720289328161,-257.70074271734,1,0,0,0,1,0
INSTANTIATE::TREE,638.805192939668,29.0760646701946,-232.888820228484,1,0,0,0,1,0
INSTANTIATE::TREE,642.198653031394,36.4830388892671,-208.076897739628,1,0,0,0,1,0
INSTANTIATE::TREE,645.59211312312,39.5742693442447,-183.264975250772,1,0,0,0,1,0
INSTANTIATE::TREE,170.54874067054,13.9441504872042,-423.804829702121,1,0,0,0,1,0
INSTANTIATE::TREE,122.182470237404,13.1087790824556,-417.649258876147,1,0,0,0,1,0
INSTANTIATE::TREE,189.468654435975,16.3204125729276,-439.949822781959,1,0,0,0,1,0
INSTANTIATE::TREE,171.01301534151,18.6886587076998,-455.714014508482,1,0,0,0,1,0
INSTANTIATE::TREE,137.946661963927,11.9068187928219,-408.421439328914,1,0,0,0,1,0
INSTANTIATE::TREE,125.258410086482,11.1136741127646,-398.040142338278,1,0,0,0,1,0
INSTANTIATE::TREE,119.875515350596,16.0786086048216,-436.489390451747,1,0,0,0,1,0
INSTANTIATE::TREE,117.953052944923,19.1004058492213,-451.100104734865,1,0,0,0,1,0
INSTANTIATE::TREE,530.610561246721,28.4980355107643,-450.206906664948,1,0,0,0,1,0
INSTANTIATE::TREE,527.46584453994,24.7470110325807,-470.399298150592,1,0,0,0,1,0
INSTANTIATE::TREE,513.562886467858,32.4401127033524,-435.972925781626,1,0,0,0,1,0
INSTANTIATE::TREE,490.391289681054,33.1761782661046,-433.655766102945,1,0,0,0,1,0
INSTANTIATE::TREE,473.509126307811,30.2498818333243,-440.938267950226,1,0,0,0,1,0
INSTANTIATE::TREE,471.688500845991,26.6381932709454,-455.834294456029,1,0,0,0,1,0
